mileage,price
1969,19998
2794,20575
3846,22950
4952,19995
6000,21700
6622,19400
7267,18995
8167,22998
8470,22871
8528,20495
11959,17598
12803,11741
16223,13421
17384,15500
20318,16998
22043,14599
23093,18488
23114,22888
23165,17986
23252,19999
24441,15500
25063,19462
26744,17999
27836,16500
29874,16995
32318,11971
35674,18796
38062,17888
40075,16888
75500,15000
76199,15999
76328,14490
76379,14465
77308,15500
77323,9000
78259,10900
78318,15992
79957,12000
80841,14998
83168,14598
85855,13995
87500,13995
89722,11510
92000,11500
95887,13395
99556,12736
99801,13998
101706,11995
104635,11852
107370,11996
110710,12875
112877,10995
114850,11534
117370,10000
118617,9995
120173,8000
120206,10995
122782,8999
123000,10495
125850,7900
125948,8900
160700,6000
162478,5489
164179,7999
164482,5999
165361,3995
165554,5877
166209,7988
166515,4995
168375,6000
169743,5999
170079,6995
172105,4900
173366,6997
177182,5500
181982,3998
186184,3900
192318,4995
199394,2800
202050,4995
206126,3250
206590,1990
207978,3771
212348,6054
212415,4995
225510,2995
227217,3504
235000,3000
239078,5477
248673,3699
