Artist and Title,daily,streams
The Weeknd - Blinding Lights,1649572,4140423947
Ed Sheeran - Shape of You,1076806,3824655073
Lewis Capaldi - Someone You Loved,1800022,3285174089
Post Malone - Sunflower,1491846,3225282791
The Weeknd - Starboy,2105729,3128765173
Harry Styles - As It Was,1986931,3101832576
Drake - One Dance,1542428,3060378544
Tones And I - Dance Monkey,615160,3014953671
The Kid LAROI - STAY,1006055,3000002936
Post Malone - rockstar,661012,2905202568
Imagine Dragons - Believer,1190114,2901500574
Glass Animals - Heat Waves,1270924,2889805089
Ed Sheeran - Perfect,1268242,2872989171
The Chainsmokers - Closer,1079251,2787778260
The Neighbourhood - Sweater Weather,1590980,2738935688
Billie Eilish - lovely,1343160,2706673015
James Arthur - Say You Won't Let Go,1542929,2704557515
Shawn Mendes - Señorita,858684,2672432473
Harry Styles - Watermelon Sugar,1406653,2592012800
Dua Lipa - Don't Start Now,711780,2530102947
Juice WRLD - Lucid Dreams,837980,2484571340
The Chainsmokers - Something Just Like This,1331180,2476981647
Drake - God's Plan,805881,2467593287
Billie Eilish - bad guy,540258,2465784355
Ed Sheeran - Photograph,798401,2459153093
Ed Sheeran - Thinking out Loud,678441,2450474782
Hozier - Take Me to Church,1239721,2433282032
Queen - Bohemian Rhapsody,969138,2418205251
Vance Joy - Riptide,1508393,2405840418
Post Malone - Circles,938046,2394996049
Lady Gaga - Shallow,898306,2375074729
Justin Bieber - Love Yourself,894798,2348619171
OneRepublic - Counting Stars,1559430,2345241069
Imagine Dragons - Thunder,932813,2298716948
John Legend - All of Me,1048607,2297285238
Travis Scott - goosebumps,1406101,2285037456
Tom Odell - Another Love,1690712,2277231415
Macklemore & Ryan Lewis - Can't Hold Us,1446786,2277182973
Twenty One Pilots - Stressed Out,908647,2237199230
Avicii - Wake Me Up,1137117,2232658514
The Weeknd - The Hills,1089206,2222875479
Ariana Grande - 7 rings,802413,2202633006
XXXTENTACION - SAD!,461794,2178726797
Passenger - Let Her Go,952398,2175166280
Coldplay - Yellow,1528289,2174375725
Imagine Dragons - Demons,1210352,2159547858
Kendrick Lamar - HUMBLE.,897332,2135955064
XXXTENTACION - Jocelyn Flores,575611,2135467316
The Weeknd - Die For You,1638328,2134517696
J. Cole - No Role Modelz,1236131,2132804583
Eminem - Lose Yourself,971820,2108466009
Olivia Rodrigo - drivers license,988041,2105684423
Olivia Rodrigo - good 4 u,877177,2096939934
Calvin Harris - One Kiss,901513,2095685665
Arctic Monkeys - Do I Wanna Know?,1145317,2094386068
Shawn Mendes - Treat You Better,974813,2089319866
Travis Scott - SICKO MODE,773367,2079708348
Marshmello - Happier,882228,2074587966
The Killers - Mr. Brightside,1188777,2073747737
DJ Snake - Let Me Love You,870376,2072208308
Lil Uzi Vert - XO Tour Llif3,480595,2071588541
Dua Lipa - New Rules,494655,2047034554
Eminem - Without Me,1296292,2029083807
Camila Cabello - Havana,582064,2023604518
Justin Bieber - Sorry,749711,2021632947
Sam Smith - Stay With Me,889619,2018947262
Dua Lipa - Levitating,588359,2013974267
Bruno Mars - When I Was Your Man,1118507,2003679793
Major Lazer - Lean On,1025231,1999767650
Sam Smith - Too Good At Goodbyes,823746,1996853548
Bruno Mars - That's What I Like,1390619,1988986217
Halsey - Without Me,709135,1987143874
Bruno Mars - Just the Way You Are,1218788,1986867525
Coldplay - Viva La Vida,1827189,1982146522
Arctic Monkeys - I Wanna Be Yours,2568036,1973930540
Lil Nas X - INDUSTRY BABY,624934,1973251706
Shawn Mendes - There's Nothing Holdin' Me Back,1118660,1959245175
Maroon 5 - Memories,923150,1948779055
French Montana - Unforgettable,1458180,1947005264
Post Malone - Congratulations,539745,1936855167
Nirvana - Smells Like Teen Spirit,1075372,1931946925
Mark Ronson - Uptown Funk,823683,1928845576
The Police - Every Breath You Take,1540437,1926804199
Bad Bunny - DÁKITI,560209,1924069680
Linkin Park - In the End,1392883,1921176219
Oasis - Wonderwall,872653,1918800608
Taylor Swift - Cruel Summer,4065913,1915261702
Post Malone - Better Now,452147,1913539109
Elton John - Cold Heart,1178768,1909129843
The Weeknd - Save Your Tears,1152395,1904003514
Lord Huron - The Night We Met,2279502,1901373860
Eminem - Till I Collapse,663805,1893851272
Mike Posner - I Took A Pill In Ibiza,634979,1892075793
SAINt JHN - Roses,432011,1890918477
Alan Walker - Faded,573667,1889744162
Queen - Don't Stop Me Now,1107630,1885866611
Miley Cyrus - Flowers,2129624,1870845310
Bruno Mars - Locked out of Heaven,1805320,1870351789
Lil Nas X - MONTERO (Call Me By Your Name),591691,1863454751
Adele - Someone Like You,899917,1854186275
Shawn Mendes - Stitches,819095,1850101820
Roddy Ricch - The Box,706025,1848750295
Lewis Capaldi - Before You Go,1008034,1845886300
"Ariana Grande - thank u, next",421579,1844373369
Lukas Graham - 7 Years,838194,1841925114
The Chainsmokers - Don't Let Me Down,612616,1837937446
Coldplay - The Scientist,850733,1829874060
BTS - Dynamite,594887,1827499455
XXXTENTACION - Moonlight,625784,1826829054
Wiz Khalifa - See You Again,916205,1824748607
